"Time","N","ProducerProportion","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","MixingFreq","EnvChangeFreq","Replicate"
0,1,0.312352,0.312352,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
10,1,0.154904027338635,0.154904027338635,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
20,1,0.065284483506317,0.065284483506317,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
30,1,0.0272377040866125,0.0272377040866125,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
40,1,0.0102358332841604,0.0102358332841604,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
50,1,0.00439295618358706,0.00439295618358706,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
60,1,0.000974485649300986,0.000974485649300986,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
70,1,0.000631335834701894,0.000631335834701894,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
80,1,0.00107799708142272,0.00107799708142272,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
90,1,0.000413727767129229,0.000413727767129229,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
100,1,0.000207925146947099,0.000207925146947099,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
110,1,0.00012797722005483,0.00012797722005483,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
120,1,4.79971201727896e-05,4.79971201727896e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
130,1,7.99929606194655e-05,7.99929606194655e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
140,1,0.000173953032681176,0.000173953032681176,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
150,1,0.000277866068554957,0.000277866068554957,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
160,1,0.000335829398665478,0.000335829398665478,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
170,1,0.000375788055536677,0.000375788055536677,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
180,1,0.0001399708860557,0.0001399708860557,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
190,1,0.00021593565117595,0.00021593565117595,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
200,1,7.99904011518618e-05,7.99904011518618e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
210,1,8.59872738834653e-05,8.59872738834653e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
220,1,5.39951404373606e-05,5.39951404373606e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
230,1,9.19862020696896e-05,9.19862020696896e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
240,1,0.0001399708860557,0.0001399708860557,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
250,1,0.000123977931928117,0.000123977931928117,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
260,1,3.19990400287991e-05,3.19990400287991e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
270,1,4.3998768034495e-05,4.3998768034495e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
280,1,0.000147964488522755,0.000147964488522755,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
290,1,8.39874018897165e-05,8.39874018897165e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
300,1,2.59992720203834e-05,2.59992720203834e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
310,1,4.99970001799892e-05,4.99970001799892e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
320,1,0.000143969766349067,0.000143969766349067,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
330,1,9.19891452808569e-05,9.19891452808569e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
340,1,0.000121978043952089,0.000121978043952089,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
