"Time","N","ProducerProportion","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","MixingFreq","EnvChangeFreq","Replicate","Struct"
0,8,0.882352941176471,0.75,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
10,241,0.886146590028488,0.781783506262081,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
20,477,0.914345716366347,0.837445437279408,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
30,615,0.925380614690942,0.862367863902716,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
40,625,0.913887413724926,0.845404026093602,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
50,625,0.900672432243162,0.823883819511061,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
60,625,0.885545920349773,0.798802173805624,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
70,625,0.867583207373818,0.769856539044044,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
80,625,0.847531132485497,0.74151903522231,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
90,625,0.824378725710304,0.707441765291352,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
100,625,0.797117833269809,0.669167171271713,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
110,625,0.758344592749245,0.623670066350772,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
120,625,0.710937777142347,0.567790212623143,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
130,625,0.655330214850534,0.509687965881118,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
140,625,0.584319443329575,0.439613641229078,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
150,625,0.513990420973027,0.373660898451172,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
160,625,0.423615374495703,0.299263781420414,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
170,625,0.330096297260825,0.22848112745821,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
180,625,0.243157434811451,0.164320869999116,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
190,625,0.160284460160559,0.110016247073445,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
200,625,0.0991377679952881,0.0701843019248046,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
210,625,0.0517930767706692,0.038030545007994,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
220,625,0.0225873607971278,0.0181761938816574,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
230,625,0.0106474837163089,0.00887094085866141,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
240,625,0.00446268019114418,0.00397149656626342,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
250,625,0.00218095116583203,0.00197816985552879,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
260,625,0.00163600487609258,0.00146482403338847,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
270,625,0.000944726508666318,0.000818817520650872,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
280,625,0.000283878500001999,0.000275939720827436,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
290,625,0.000343836333905061,0.000309468766538334,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
300,625,3.1998976032767e-05,3.16396146814239e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
310,625,0.000105983042713166,0.000105925455708745,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
320,625,0.000385764683543039,0.000358134715388443,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
330,625,0.00020593739503191,0.000194099900644368,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
340,625,5.59967521883731e-05,5.51857669300687e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
350,625,0.000143972357307397,0.000135174683011998,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
360,625,0.000263907104699146,0.000258244566837759,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
370,625,8.9988121567953e-05,9.02883498187091e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
380,625,0.000121980727045127,0.000114144888261665,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
390,625,0.000179956810365512,0.000168407008726033,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
400,625,0.000407750456720487,0.00038110104025627,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
410,625,0.00020193659191014,0.000195579509245991,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
420,625,0.000341824302308613,0.000314451251702543,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
430,625,0.000125978331726943,0.000122327507953886,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
440,625,4.99975001249937e-05,4.85470489189723e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
450,625,0.0001059847381977,0.000105210047779556,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
460,625,4e-06,3.945751991729e-06,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
470,625,1.2e-05,1.21343748518197e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
480,625,2.99991000269992e-05,2.81526883737047e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
490,625,0.000311854675721114,0.000281900780189119,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
500,625,0.000273872922963745,0.000261868712753536,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
510,625,0.000255903780178653,0.000252221845440157,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
520,625,0.000371817809273456,0.000339554442090576,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
530,625,7.59928566714729e-05,7.44397182206706e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
540,625,2.39993760162236e-05,2.36108569224628e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
550,625,4.7995008519114e-05,4.63868553436711e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
560,625,0.000229931020693792,0.000217391441130403,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
570,625,0.000145964676548275,0.000140153832529617,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
580,625,5.59949604535592e-05,5.39095332001857e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
590,625,6e-06,6.0211485027761e-06,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
600,625,2.99991000269992e-05,3.09265286559501e-05,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
610,625,0,0,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
620,625,6e-06,6.05938873310265e-06,0,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,"0",TRUE
