"Time","N","ProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","EnvChangeFreq","Replicate"
0,14,0.652173913043478,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
10,336,0.598002101071762,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
20,590,0.605115943699423,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
30,625,0.610684342746451,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
40,625,0.600960691949049,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
50,625,0.586594828841245,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
60,625,0.574575335655721,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
70,625,0.557923090345619,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
80,625,0.542434119949692,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
90,625,0.526286509040334,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
100,625,0.516636702560512,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
110,625,0.4979869489959,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
120,625,0.477006178644953,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
130,625,0.458615905681051,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
140,625,0.440810263515494,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
150,625,0.429430027547839,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
160,625,0.417219665056465,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
170,625,0.405463285935775,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
180,625,0.386343877854284,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
190,625,0.365875740261496,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
200,625,0.344792179054563,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
210,625,0.316695082621467,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
220,625,0.292881831929142,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
230,625,0.267969691619134,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
240,625,0.260848166553781,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
250,625,0.230944978143783,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
260,625,0.221184437488021,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
270,625,0.201386763069537,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
280,625,0.186942577359711,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
290,625,0.170717261423111,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
300,625,0.158111059868131,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
310,625,0.154098299402337,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
320,625,0.138803478872002,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
330,625,0.124910188874986,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
340,625,0.104397823065076,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
350,625,0.0944590771808143,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
360,625,0.0799666088790359,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
370,625,0.0780003633300854,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
380,625,0.0788764605902198,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
390,625,0.0737697513600808,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
400,625,0.0632329626641976,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
410,625,0.059387641949196,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
420,625,0.058646546243315,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
430,625,0.0508953017400683,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
440,625,0.0458674535655089,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
450,625,0.0401396093915574,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
460,625,0.0405072463768116,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
470,625,0.0361268077770329,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
480,625,0.0333151440857405,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
490,625,0.0327025487902481,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
500,625,0.0269480047664719,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
510,625,0.0267615136744879,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
520,625,0.018951565615105,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
530,625,0.0170542969507027,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
540,625,0.0146724424354055,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
550,625,0.0146226220564756,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
560,625,0.0160180509378333,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
570,625,0.0156265635883801,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
580,625,0.0135125834950635,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
590,625,0.0109027724361819,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
600,625,0.00770272625025742,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
610,625,0.00774556674733728,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
620,625,0.00658775907057038,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
630,625,0.00480244574886151,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
640,625,0.00273801718932771,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
650,625,0.00333318067870249,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
660,625,0.0034950273030338,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
670,625,0.00417413587628004,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
680,625,0.00560012559543564,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
690,625,0.00339668096883057,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
700,625,0.00229483552349565,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
710,625,0.00258789987339627,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
720,625,0.00233299169295437,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
730,625,0.00292518850329183,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
740,625,0.00174009869871748,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
750,625,0.00118007883166205,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
760,625,0.000763174245466405,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
770,625,0.000425765828794163,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
780,625,0.000123981402789582,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
790,625,0.000255914524548801,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
800,625,0.00010398481821654,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
810,625,8e-06,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
820,625,3.79976441460629e-05,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
830,625,3.59979841128897e-05,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
840,625,0.000151972644923914,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
850,625,0.0001299667285175,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
860,625,1.4e-05,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
870,625,0.0001599667269208,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
880,625,2.39987040699802e-05,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
890,625,6.59927407985122e-05,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
900,625,0.000161961453174145,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
910,625,7.79914209436962e-05,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
920,625,4.39970082034422e-05,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
930,625,0.000195943960027432,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
940,625,0.000173961728419748,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
950,625,0.000177953376215432,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
960,625,0.000429768784393996,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
970,625,0.00123427201917316,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
980,625,0.00143367457983151,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
990,625,0.000940876593347543,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1000,625,0.000517659380127876,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1010,625,0.000833260065062225,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1020,625,0.00299881762044619,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1030,625,0.00414859288249569,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1040,625,0.00327030396698626,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1050,625,0.00265260447494973,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1060,625,0.00100463971782207,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1070,625,0.00109237890969801,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1080,625,0.000125977575991474,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1090,625,8e-06,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1100,625,0.000315876808044863,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1110,625,0.000377784662742237,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1120,625,0.000167963383982292,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1130,625,0.000283876229963736,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1140,625,0.000117980651173208,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1150,625,0.0004956966336602,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1160,625,0.000443735533621961,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1170,625,0.000835114778334965,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1180,625,0.00169863330878199,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1190,625,0.00309318622097148,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1200,625,0.00378036083633765,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1210,625,0.00300408579573412,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1220,625,0.00278931691621091,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1230,625,0.00214604686599373,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1240,625,0.00247679747294867,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1250,625,0.00364581259209112,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1260,625,0.00494532699408828,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1270,625,0.0063726395516712,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1280,625,0.00774270280985183,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1290,625,0.00868829862238876,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1300,625,0.0132814686072587,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1310,625,0.0114149258444262,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1320,625,0.00933640525654844,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1330,625,0.00788796357389542,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1340,625,0.0087794296933137,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1350,625,0.00721957218084632,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1360,625,0.00726085560352517,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1370,625,0.00655199030099074,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
