"Time","N","ProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","EnvChangeFreq","Replicate"
0,30,0.647549019607843,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
10,477,0.444861519211934,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
20,624,0.425335329913659,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
30,625,0.414197282241624,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
40,625,0.432495896767663,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
50,625,0.446225133721978,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
60,625,0.445279154588238,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
70,625,0.446685993407728,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
80,625,0.456947701430456,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
90,625,0.454526789007691,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
100,625,0.46041860658217,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
110,625,0.460995085995086,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
120,625,0.463129800020613,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
130,625,0.46282694873103,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
140,625,0.467767709407802,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
150,625,0.467979378186799,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
160,625,0.471625114043194,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
170,625,0.472313869229758,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
180,625,0.473539162649098,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
190,625,0.473266643670231,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
200,625,0.475689444861971,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
210,625,0.469473210848685,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
220,625,0.475093239493301,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
230,625,0.479282822548589,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
240,625,0.476787424380445,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
250,625,0.48075664369219,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
260,625,0.476414034562169,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
270,625,0.476150592374927,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
280,625,0.480678761090829,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
290,625,0.48007523572345,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
300,625,0.477488871848582,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
310,625,0.482122968677702,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
320,625,0.478277328155176,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
330,625,0.479444926076876,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
340,625,0.481275024784512,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
