"Time","N","ProducerProportion","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","MixingFreq","EnvChangeFreq","Replicate","Treatment","Degree"
0,14,0.652173913043478,0.428571428571429,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
10,345,0.607827960865497,0.38327262448373,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
20,565,0.526739401249402,0.31927563220066,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
30,623,0.471735218454403,0.282435533325828,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
40,625,0.481574828586865,0.2944840824726,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
50,625,0.532100056301777,0.331909498019288,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
60,625,0.544187337316864,0.347322204882639,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
70,625,0.530079032638387,0.338193321648304,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
80,625,0.514286673515568,0.32597225683384,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
90,625,0.519694013250319,0.329883814095018,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
100,625,0.528616272412194,0.337520860021861,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
110,625,0.536459249870003,0.341812415039781,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
120,625,0.534839081449492,0.339701479021241,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
130,625,0.531416129284635,0.339815148639442,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
140,625,0.548690985776931,0.354840018734254,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
150,625,0.575793724204362,0.381445798959214,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
160,625,0.60406881678778,0.41099104675973,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0,"Lattice",NA
