"Time","N","MeanProducerProportion","EnvChangeFreq","Replicate"
0,20,0.6,312,"0"
10,307,0.784179081066143,312,"0"
20,523,0.802296709841422,312,"0"
30,588,0.78849367832999,312,"0"
40,620,0.78789778850597,312,"0"
50,624,0.807305469498474,312,"0"
60,625,0.83073442539832,312,"0"
70,625,0.852912599535854,312,"0"
80,625,0.877374982646173,312,"0"
90,625,0.900374257096486,312,"0"
100,625,0.917029741571475,312,"0"
110,625,0.9310472925504,312,"0"
120,625,0.945541368599243,312,"0"
130,625,0.958615551329328,312,"0"
140,625,0.972598979794836,312,"0"
150,625,0.980764410577613,312,"0"
160,625,0.987095075224335,312,"0"
170,625,0.992574665005345,312,"0"
180,625,0.997209947335696,312,"0"
190,625,0.999204201798941,312,"0"
200,625,0.998929784692815,312,"0"
210,625,0.998869960822282,312,"0"
220,625,0.999043427478018,312,"0"
230,625,0.998953639263712,312,"0"
240,625,0.998588582420689,312,"0"
250,625,0.998687598210969,312,"0"
260,625,0.998658158693086,312,"0"
270,625,0.999114456391379,312,"0"
280,625,0.999454891292566,312,"0"
290,625,0.999079656633206,312,"0"
300,625,0.999298500490384,312,"0"
310,625,0.999431310430941,312,"0"
320,188,0.999992207743331,312,"0"
330,534,0.999954840470877,312,"0"
340,615,0.999542126208428,312,"0"
350,625,0.99927448598716,312,"0"
360,625,0.998926935876185,312,"0"
370,625,0.999510448869658,312,"0"
380,625,0.999692014945355,312,"0"
390,625,0.999837900232564,312,"0"
400,625,0.999753697181426,312,"0"
410,625,0.999254765134245,312,"0"
420,625,0.998833022419936,312,"0"
430,625,0.998879963882222,312,"0"
440,625,0.999276717075896,312,"0"
450,625,0.998781811807224,312,"0"
460,625,0.998245222278946,312,"0"
470,625,0.998703531582294,312,"0"
480,625,0.999411835223629,312,"0"
490,625,0.999740174227863,312,"0"
500,625,0.999694746033971,312,"0"
510,625,0.999786559294749,312,"0"
520,625,0.999490394192213,312,"0"
530,625,0.999664851028653,312,"0"
540,625,0.99993698275412,312,"0"
550,625,0.999985019921554,312,"0"
560,625,0.999910240093299,312,"0"
570,625,0.999832615485454,312,"0"
580,625,0.999919953145898,312,"0"
590,625,0.999913823652585,312,"0"
600,625,0.999627099453401,312,"0"
610,625,0.99939047663641,312,"0"
620,625,0.999255349606449,312,"0"
630,137,0.999994536474496,312,"0"
640,518,0.999966392658517,312,"0"
650,623,0.99996778258831,312,"0"
660,625,0.999920227224625,312,"0"
670,625,0.999923611334,312,"0"
680,625,0.999590998071821,312,"0"
690,625,0.999328905984709,312,"0"
700,625,0.999292674195975,312,"0"
710,625,0.998811101739837,312,"0"
720,625,0.999237017707043,312,"0"
730,625,0.99982540518017,312,"0"
740,625,0.999656217159904,312,"0"
750,625,0.999607946345387,312,"0"
760,625,0.999811666319339,312,"0"
770,625,0.999890533754264,312,"0"
780,625,0.99992050364727,312,"0"
790,625,0.999875716397854,312,"0"
800,625,0.999716204760733,312,"0"
810,625,0.99950693099531,312,"0"
820,625,0.99956308766605,312,"0"
830,625,0.999562279600614,312,"0"
840,625,0.999795614865857,312,"0"
850,625,0.999691471189045,312,"0"
860,625,0.999039779486264,312,"0"
870,625,0.99785604136399,312,"0"
880,625,0.997759116334194,312,"0"
890,625,0.99775512759846,312,"0"
900,625,0.997198918030577,312,"0"
910,625,0.997116723117203,312,"0"
920,625,0.997994668171583,312,"0"
930,625,0.998200529882836,312,"0"
940,57,0.999986975605309,312,"0"
950,455,0.999991963289143,312,"0"
960,620,0.999942238680009,312,"0"
970,625,0.999761915923994,312,"0"
980,625,0.999620095567059,312,"0"
990,625,0.999821303441224,312,"0"
1000,625,0.999364360840831,312,"0"
1010,625,0.999614016908354,312,"0"
1020,625,0.999408920475122,312,"0"
1030,625,0.999218142009616,312,"0"
1040,625,0.998932905852313,312,"0"
1050,625,0.998135146815616,312,"0"
1060,625,0.998371094571413,312,"0"
1070,625,0.998789567584578,312,"0"
1080,625,0.999597196776423,312,"0"
1090,625,0.999676637328701,312,"0"
1100,625,0.999438824007679,312,"0"
1110,625,0.999455661930999,312,"0"
1120,625,0.999113334116221,312,"0"
1130,625,0.999207796044258,312,"0"
1140,625,0.998278643291615,312,"0"
1150,625,0.997544649551949,312,"0"
1160,625,0.997425773689851,312,"0"
1170,625,0.997872211733345,312,"0"
1180,625,0.997697711816444,312,"0"
1190,625,0.998438131469814,312,"0"
1200,625,0.999154509731802,312,"0"
1210,625,0.999424479681063,312,"0"
1220,625,0.999356000777945,312,"0"
1230,625,0.999320481134102,312,"0"
1240,625,0.999431946797243,312,"0"
1250,25,1,312,"0"
1260,435,0.999933551367153,312,"0"
1270,617,0.999592104665293,312,"0"
1280,625,0.998798204679975,312,"0"
